RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/2/livecontrol/sizex) FLOAT(72.86774)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/sizex) FLOAT(51.170994)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/10/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posx) FLOAT(86.4088)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posy) FLOAT(42.415714)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/anglez) FLOAT(-146.64536)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/sizex) FLOAT(23.546352)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/11/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posx) FLOAT(72.66243)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posy) FLOAT(33.36724)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/anglez) FLOAT(-146.64528)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/sizex) FLOAT(78.48789)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/12/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posx) FLOAT(58.396053)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posy) FLOAT(24.528131)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/anglez) FLOAT(-153.03151)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/sizex) FLOAT(25.685087)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/13/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posx) FLOAT(42.396305)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posy) FLOAT(16.386906)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/anglez) FLOAT(-153.0314)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/sizex) FLOAT(85.61681)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/14/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posx) FLOAT(26.907673)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posy) FLOAT(8.102199)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/anglez) FLOAT(-147.55629)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/sizex) FLOAT(23.370852)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/15/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posx) FLOAT(0.49260646)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posy) FLOAT(-4.458272)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/anglez) FLOAT(-91.32501)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/sizex) FLOAT(10)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/0/livecontrol/sizey) FLOAT(1)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posx) FLOAT(4.018277)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posy) FLOAT(-4.493945)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/posz) FLOAT(56.533333)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/anglex) FLOAT(0)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/angley) FLOAT(180)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/anglez) FLOAT(-0.5788304)
RECEIVE    | ENDPOINT([::ffff:127.0.0.1]:55821) ADDRESS(/beyond/cue/2/1/livecontrol/sizex) FLOAT(21.860281)
DISCONNECT | ENDPOINT([::]:8000)
